0,45.0,47.0,36.0,38.0,5@#787,45.0,47.0,36.0,38.0,5
1,51.0,55.0,48.0,50.0,5@#742,51.0,55.0,48.0,50.0,5
2,13.0,14.0,33.0,36.0,2@#366,13.0,14.0,33.0,36.0,2
3,25.0,28.0,40.0,43.0,3@#510,25.0,28.0,40.0,43.0,3
4,8.0,9.0,53.0,57.0,0@#33,8.0,9.0,53.0,57.0,0
5,51.0,54.0,51.0,60.0,8@#1162,51.0,54.0,51.0,60.0,8
6,22.0,23.0,44.0,46.0,2@#354,22.0,23.0,44.0,46.0,2
7,19.0,24.0,41.0,44.0,6@#972,19.0,24.0,41.0,44.0,6
8,21.0,23.0,26.0,27.0,5@#730,21.0,23.0,26.0,27.0,5
9,34.0,36.0,17.0,19.0,7@#1073,34.0,36.0,17.0,19.0,7
10,10.0,11.0,51.0,53.0,5@#756,10.0,11.0,51.0,53.0,5
11,36.0,41.0,38.0,44.0,6@#973,36.0,41.0,38.0,44.0,6
12,6.0,9.0,20.0,22.0,5@#709,6.0,9.0,20.0,22.0,5
13,27.0,28.0,7.0,8.0,2@#292,27.0,28.0,7.0,8.0,2
14,43.0,48.0,10.0,11.0,3@#542,43.0,48.0,10.0,11.0,3
15,41.0,42.0,32.0,34.0,0@#100,41.0,42.0,32.0,34.0,0
16,51.0,59.0,3.0,7.0,2@#314,51.0,59.0,3.0,7.0,2
17,10.0,11.0,49.0,50.0,9@#1380,10.0,11.0,49.0,50.0,9
18,27.0,28.0,21.0,23.0,0@#21,27.0,28.0,21.0,23.0,0
19,27.0,28.0,17.0,20.0,6@#864,27.0,28.0,17.0,20.0,6
20,12.0,13.0,16.0,18.0,2@#297,12.0,13.0,16.0,18.0,2
21,34.0,35.0,36.0,38.0,0@#94,34.0,35.0,36.0,38.0,0
22,34.0,35.0,37.0,39.0,1@#235,34.0,35.0,37.0,39.0,1
23,21.0,23.0,32.0,33.0,5@#813,21.0,23.0,32.0,33.0,5
24,36.0,37.0,27.0,28.0,5@#812,36.0,37.0,27.0,28.0,5
25,32.0,33.0,16.0,19.0,9@#1355,32.0,33.0,16.0,19.0,9
